大項目,中項目,お悩み,提示順位,サービス_送客先,種別,ランク,粗利率,リカーリング,L0無料価値,CV種別,備考
①お悩み解決,ホームページ,作りたい,1,HP制作,自社,B,25%,単発,HP無料診断,制作見積/個別相談,
①お悩み解決,ホームページ,作りたい,2,HP管理,自社,S,70%,月額,-,管理プラン申込,S差込(必須クロスセル)
①お悩み解決,ホームページ,リニューアルしたい,1,HP制作,自社,B,25%,単発,現HP無料診断,制作見積,
①お悩み解決,ホームページ,リニューアルしたい,2,HP管理,自社,S,70%,月額,-,管理プラン申込,S差込
①お悩み解決,ホームページ,管理費を安くしたい,1,HP管理,自社,S,70%,月額,管理費見直し無料相談,管理プラン申込,主役
①お悩み解決,ホームページ,プロに相談したい,1,有料個別相談(田尾),自社,A,高,単発,無料1次相談,有料相談予約,
①お悩み解決,ホームページ,プロに相談したい,2,HP制作,自社,B,25%,単発,-,制作見積,
①お悩み解決,集患増患/新患数,WEB広告(Google等),1,広告運用代行,自社,A,~15%,月額,集患無料レポート,広告運用申込,
①お悩み解決,集患増患/新患数,WEB広告(Google等),2,オンラインサロン(SDC),自社,S,95%,月額,-,サロン体験,S差込
①お悩み解決,集患増患/新患数,SEO対策,1,AXiY for Dental,自社,A,高,月額,SEO無料レポート,AXiY個別相談,
①お悩み解決,集患増患/新患数,SEO対策,2,SDC無料レポート,無料,L0,-,-,SEO無料レポート,サロン体験,→サロン(S)
①お悩み解決,集患増患/新患数,Googleマップ・MEO,1,AXiY for Dental,自社,A,高,月額,MEO無料レポート,AXiY個別相談,
①お悩み解決,集患増患/新患数,Googleマップ・MEO,2,オンラインサロン(SDC),自社,S,95%,月額,-,サロン体験,S差込
①お悩み解決,集患増患/新患数,Google口コミ,1,口コミ×DX(LUCHT),自社,B,15-46%,単発,口コミ無料診断,プログラム申込,
①お悩み解決,集患増患/新患数,口コミ最適化,1,口コミ×DX(LUCHT),自社,B,15-46%,単発,口コミ無料診断,プログラム申込,
①お悩み解決,集患増患/新患数,EPARK歯科,1,SDC無料レポート,無料,L0,-,-,集患無料レポート,サロン体験,→サロン(S)
①お悩み解決,集患増患/新患数,ポスティング,1,送客:ポスティング業者,送客,D→C,≒100%,単発,エリア無料診断,送客フォーム,旧SLP赤字→送客化
①お悩み解決,集患増患/新患数,看板,1,送客:デンタルサイン,送客,C,≒100%,単発,-,送客フォーム,成果報酬
①お悩み解決,集患増患/新患数,プロに相談,1,有料個別相談(田尾),自社,A,高,単発,無料1次相談,有料相談予約,
①お悩み解決,集患増患/新患数,プロに相談,2,広告運用代行,自社,A,~15%,月額,-,広告運用申込,
①お悩み解決,集患増患/メンテ患者,医院公式LINE制作,1,広告運用代行(自社),自社,A,~15%,月額,LINE活用無料相談,制作申込,
①お悩み解決,集患増患/メンテ患者,WEB広告,1,広告運用代行,自社,A,~15%,月額,集患無料レポート,広告運用申込,
①お悩み解決,集患増患/メンテ患者,HPにメンテコンテンツ追加,1,HP制作,自社,B,25%,単発,無料診断,制作見積,
①お悩み解決,集患増患/メンテ患者,HPにメンテコンテンツ追加,2,HP管理,自社,S,70%,月額,-,管理プラン申込,S差込
①お悩み解決,集患増患/メンテ患者,メンテパンフ作成,1,送客化,送客,D→C,≒100%,単発,-,送客フォーム,旧ゼロイチ→送客
①お悩み解決,集患増患/メンテ患者,メンテチラシ作成,1,送客化,送客,D→C,≒100%,単発,-,送客フォーム,旧ゼロイチ→送客
①お悩み解決,集患増患/メンテ患者,チェアサイド予約導入,1,送客:Ciイージーアポ/iQalte/アポツール/ジニー/デンティス,送客,C,≒100%,一部月額,DX無料診断,送客フォーム,入札枠
①お悩み解決,集患増患/メンテ患者,リマインダー導入,1,送客:Ciイージーアポ/iQalte/アポツール/ジニー/デンティス,送客,C,≒100%,一部月額,DX無料診断,送客フォーム,入札枠
①お悩み解決,集患増患/メンテ患者,デンタルフィットネス,1,送客:しん治歯科医院,送客,C,≒100%,単発,-,送客フォーム,
①お悩み解決,集患増患/メンテ患者,プロに相談,1,有料個別相談(田尾),自社,A,高,単発,無料1次相談,有料相談予約,
①お悩み解決,集患増患/自費患者,WEB広告,1,広告運用代行,自社,A,~15%,月額,自費成約無料レポート,広告運用申込,
①お悩み解決,集患増患/自費患者,HPに自費コンテンツ追加,1,HP制作,自社,B,25%,単発,無料診断,制作見積,
①お悩み解決,集患増患/自費患者,HPに自費コンテンツ追加,2,HP管理,自社,S,70%,月額,-,管理プラン申込,S差込
①お悩み解決,集患増患/自費患者,自費パンフ作成,1,送客化,送客,D→C,≒100%,単発,-,送客フォーム,
①お悩み解決,集患増患/自費患者,自費チラシ作成,1,送客化,送客,D→C,≒100%,単発,-,送客フォーム,
