質問番号,質問文,回答形式,保存先種別,Lステップ項目名,タグ値の例,使い道,必須
1,医院名を教えてください,自由記入,友だち情報,医院名,(自由),送客時の差し込み,必須
2,ご担当者(院長)のお名前は?,自由記入,友だち情報,担当者名,(自由),送客・相談予約,必須
3,医院の都道府県は?,選択,タグ+友だち情報,エリア_都道府県,東京都/大阪府/...,地域型送客(看板/ポスティング/開業),必須
4,市区町村は?,自由記入,友だち情報,市区町村,(自由),商圏の絞り込み,推奨
5,ご連絡先(電話・メール)を教えてください,自由記入,友だち情報,電話/メール,(自由),送客・資料請求の宛先,必須
6,開業して何年目ですか?,選択,タグ,開業年数,1-3年/4-9年/10年以上,ライフサイクル配信,必須
7,チェア(ユニット)は何台ですか?,選択,タグ,規模_チェア台数,1-2/3-4/5以上,規模セグメント,推奨
8,スタッフは何名ですか?,選択,タグ,規模_スタッフ数,〜5/6-10/11以上,採用・規模,任意
9,1日の患者数は?,選択,タグ,患者数_日,〜20/21-40/41以上,集患ニーズ判定,任意
10,自費の割合は?,選択,タグ,自費率,〜10%/10-30%/30%以上,自費・口コミ×DXの出し分け,推奨
11,今お使いの予約/カルテのソフトは?,複数選択,タグ,導入_電子カルテ/導入_アポ帳,あり(製品名)/クラウド/紙・オンプレ/なし,電子カルテ・アポ帳送客の的,推奨
12,キャッシュレス決済は導入済みですか?,二択,タグ,導入_キャッシュレス,あり/なし,決済・ローン送客,任意
13,今一番のお悩みは?(複数可),複数選択,タグ,悩み_集患/採用/DX/お金/自費/継承,(複数),トップの出し分け(最重要),必須
14,これから医院をどうしていきたい?,選択,タグ,志向,拡大/維持/継承,継承・拡大の配信,推奨
15,提携企業へ連絡先を共有してよいですか?,二択,タグ,同意_第三者提供,済/未,送客の前提,必須
